1   Shake chance is 25.395% || Chance to catch:  0.416% || AVG Balls needed: 240
2   Shake chance is 30.188% || Chance to catch:  0.830% || AVG Balls needed: 120
3   Shake chance is 33.333% || Chance to catch:  1.234% || AVG Balls needed: 81
4   Shake chance is 35.555% || Chance to catch:  1.598% || AVG Balls needed: 62
5   Shake chance is 38.094% || Chance to catch:  2.106% || AVG Balls needed: 47
6   Shake chance is 39.999% || Chance to catch:  2.560% || AVG Balls needed: 39
7   Shake chance is 41.025% || Chance to catch:  2.833% || AVG Balls needed: 35
8   Shake chance is 42.104% || Chance to catch:  3.143% || AVG Balls needed: 31
9   Shake chance is 44.443% || Chance to catch:  3.901% || AVG Balls needed: 25
10  Shake chance is 45.712% || Chance to catch:  4.366% || AVG Balls needed: 22
11  Shake chance is 45.712% || Chance to catch:  4.366% || AVG Balls needed: 22
12  Shake chance is 47.058% || Chance to catch:  4.904% || AVG Balls needed: 20
13  Shake chance is 48.483% || Chance to catch:  5.525% || AVG Balls needed: 18
14  Shake chance is 48.483% || Chance to catch:  5.525% || AVG Balls needed: 18
15  Shake chance is 49.998% || Chance to catch:  6.249% || AVG Balls needed: 16
16  Shake chance is 51.611% || Chance to catch:  7.095% || AVG Balls needed: 14
17  Shake chance is 51.611% || Chance to catch:  7.095% || AVG Balls needed: 14
18  Shake chance is 51.611% || Chance to catch:  7.095% || AVG Balls needed: 14
19  Shake chance is 53.333% || Chance to catch:  8.090% || AVG Balls needed: 12
20  Shake chance is 53.333% || Chance to catch:  8.090% || AVG Balls needed: 12
21  Shake chance is 55.171% || Chance to catch:  9.265% || AVG Balls needed: 10
22  Shake chance is 55.171% || Chance to catch:  9.265% || AVG Balls needed: 10
23  Shake chance is 55.171% || Chance to catch:  9.265% || AVG Balls needed: 10
24  Shake chance is 57.141% || Chance to catch: 10.661% || AVG Balls needed: 9
25  Shake chance is 57.141% || Chance to catch: 10.661% || AVG Balls needed: 9
26  Shake chance is 57.141% || Chance to catch: 10.661% || AVG Balls needed: 9
27  Shake chance is 57.141% || Chance to catch: 10.661% || AVG Balls needed: 9
28  Shake chance is 59.258% || Chance to catch: 12.330% || AVG Balls needed: 8
29  Shake chance is 59.258% || Chance to catch: 12.330% || AVG Balls needed: 8
30  Shake chance is 59.258% || Chance to catch: 12.330% || AVG Balls needed: 8
31  Shake chance is 59.258% || Chance to catch: 12.330% || AVG Balls needed: 8
32  Shake chance is 61.537% || Chance to catch: 14.340% || AVG Balls needed: 6
33  Shake chance is 61.537% || Chance to catch: 14.340% || AVG Balls needed: 6
34  Shake chance is 61.537% || Chance to catch: 14.340% || AVG Balls needed: 6
35  Shake chance is 61.537% || Chance to catch: 14.340% || AVG Balls needed: 6
36  Shake chance is 61.537% || Chance to catch: 14.340% || AVG Balls needed: 6
37  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
38  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
39  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
40  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
